time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,1121,438,1599,499
2026-04-24 00:00:00+00:00,797,402,1578,469
2026-04-25 00:00:00+00:00,421,233,690,157
2026-04-26 00:00:00+00:00,288,141,493,140
2026-04-27 00:00:00+00:00,1406,350,1137,377
2026-04-28 00:00:00+00:00,1102,380,1207,371
2026-04-29 00:00:00+00:00,1340,400,1209,408
2026-04-30 00:00:00+00:00,563,305,1414,537
2026-05-01 00:00:00+00:00,413,183,1160,338
2026-05-02 00:00:00+00:00,284,92,497,194
2026-05-03 00:00:00+00:00,422,108,472,186
2026-05-04 00:00:00+00:00,583,268,1094,466
2026-05-05 00:00:00+00:00,1592,317,1101,436
2026-05-06 00:00:00+00:00,2607,350,1013,367
