url_path,views_total,views_unique
/microsoft/power-platform-skills,8127,4961
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2476,1547
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1744,1178
/microsoft/power-platform-skills/tree/main/plugins,1623,987
/microsoft/power-platform-skills/tree/main,1183,760
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,994,616
/microsoft/power-platform-skills/issues,518,198
/microsoft/power-platform-skills/tree/main/plugins/code-apps,398,259
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,392,259
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,311,222
