url_path,views_total,views_unique
/microsoft/power-platform-skills,3190,2027
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,528,314
/microsoft/power-platform-skills/tree/main,432,245
/microsoft/power-platform-skills/tree/main/plugins,431,299
/microsoft/power-platform-skills/tree/main/plugins/code-apps,252,170
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,236,153
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,160,111
/microsoft/power-platform-skills/issues,155,85
/microsoft/power-platform-skills/tree/main/plugins/model-apps,147,100
/microsoft/power-platform-skills/pulls,137,55
