url_path,views_total,views_unique
/microsoft/power-platform-skills,8848,5458
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2305,1380
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1866,1305
/microsoft/power-platform-skills/tree/main/plugins,1745,1076
/microsoft/power-platform-skills/tree/main,1206,769
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1097,674
/microsoft/power-platform-skills/issues,539,207
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,430,273
/microsoft/power-platform-skills/tree/main/plugins/code-apps,421,281
/microsoft/power-platform-skills/tree/main/plugins/model-apps,407,267
