url_path,views_total,views_unique
/microsoft/power-platform-skills,2505,1582
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,603,348
/microsoft/power-platform-skills/tree/main/plugins,453,269
/microsoft/power-platform-skills/tree/main,369,233
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,275,175
/microsoft/power-platform-skills/tree/main/plugins/code-apps,254,150
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,184,126
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,136,86
/microsoft/power-platform-skills/issues,123,61
/microsoft/power-platform-skills/tree/main/plugins/model-apps,120,79
