referrer,views_total,views_unique
Google,6093,2237
teams.public.onecdn.static.microsoft,2367,977
Bing,2121,744
github.com,1917,682
youtube.com,1365,511
linkedin.com,770,396
chatgpt.com,315,84
learn.microsoft.com,299,104
com.linkedin.android,169,127
DuckDuckGo,123,39
