url_path,views_total,views_unique
/microsoft/power-platform-skills,4332,2829
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1042,640
/microsoft/power-platform-skills/tree/main/plugins,641,406
/microsoft/power-platform-skills/tree/main,473,303
/microsoft/power-platform-skills/tree/main/plugins/code-apps,339,197
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,278,201
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,273,177
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,207,133
/microsoft/power-platform-skills/tree/main/plugins/model-apps,203,134
/microsoft/power-platform-skills/pulls,165,69
