referrer,views_total,views_unique
Google,3580,1010
github.com,1478,430
Bing,1241,378
learn.microsoft.com,912,194
statics.teams.cdn.office.net,807,326
youtube.com,510,140
linkedin.com,403,247
com.linkedin.android,241,160
teams.public.onecdn.static.microsoft,131,35
search.brave.com,80,24
