url_path,views_total,views_unique
/microsoft/power-platform-skills,6190,4194
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1169,850
/microsoft/power-platform-skills/tree/main/plugins,892,585
/microsoft/power-platform-skills/tree/main,620,402
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,535,375
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,525,363
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,462,336
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,292,187
/microsoft/power-platform-skills/tree/main/plugins/code-apps,259,170
/microsoft/power-platform-skills/issues,224,131
