url_path,views_total,views_unique
/microsoft/power-platform-skills,4585,2766
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1361,804
/microsoft/power-platform-skills/tree/main/plugins,820,497
/microsoft/power-platform-skills/tree/main,674,395
/microsoft/power-platform-skills/tree/main/plugins/code-apps,452,249
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,337,249
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,320,217
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,278,175
/microsoft/power-platform-skills/tree/main/plugins/model-apps,262,167
/microsoft/power-platform-skills/issues,227,117
