url_path,views_total,views_unique
/microsoft/power-platform-skills,3899,2543
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,905,569
/microsoft/power-platform-skills/tree/main/plugins,552,357
/microsoft/power-platform-skills/tree/main,363,236
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,292,193
/microsoft/power-platform-skills/tree/main/plugins/code-apps,248,155
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,214,135
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,167,107
/microsoft/power-platform-skills/tree/main/plugins/power-pages,146,104
/microsoft/power-platform-skills/tree/main/plugins/model-apps,136,97
