url_path,views_total,views_unique
/microsoft/power-platform-skills,8294,5245
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3472,2238
/microsoft/power-platform-skills/tree/main/plugins,1372,852
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1218,785
/microsoft/power-platform-skills/tree/main,1120,744
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,841,542
/microsoft/power-platform-skills/issues,485,193
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,368,257
/microsoft/power-platform-skills/tree/main/plugins/code-apps,352,230
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,268,154
