url_path,views_total,views_unique
/microsoft/power-platform-skills,7269,4824
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2810,1860
/microsoft/power-platform-skills/tree/main/plugins,1219,756
/microsoft/power-platform-skills/tree/main,993,639
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,849,571
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,634,424
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,537,357
/microsoft/power-platform-skills/tree/main/plugins/code-apps,309,199
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,285,209
/microsoft/power-platform-skills/issues,280,156
