url_path,views_total,views_unique
/microsoft/power-platform-skills,3241,2016
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,551,322
/microsoft/power-platform-skills/tree/main/plugins,446,301
/microsoft/power-platform-skills/tree/main,423,248
/microsoft/power-platform-skills/tree/main/plugins/code-apps,263,173
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,235,157
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,168,110
/microsoft/power-platform-skills/issues,159,86
/microsoft/power-platform-skills/tree/main/plugins/model-apps,147,97
/microsoft/power-platform-skills/pulls,134,57
