url_path,views_total,views_unique
/microsoft/power-platform-skills,10335,5964
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1917,1162
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1554,942
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1548,1024
/microsoft/power-platform-skills/tree/main/plugins,1461,901
/microsoft/power-platform-skills/tree/main,1250,785
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,505,317
/microsoft/power-platform-skills/tree/main/plugins/code-apps,455,309
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,446,288
/microsoft/power-platform-skills/tree/main/plugins/model-apps,431,261
