url_path,views_total,views_unique
/microsoft/power-platform-skills,9680,5426
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2322,1474
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1568,1024
/microsoft/power-platform-skills/tree/main/plugins,1533,907
/microsoft/power-platform-skills/tree/main,1333,813
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1174,654
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,502,324
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,443,300
/microsoft/power-platform-skills/tree/main/plugins/code-apps,429,281
/microsoft/power-platform-skills/tree/main/plugins/model-apps,414,256
