url_path,views_total,views_unique
/microsoft/power-platform-skills,7338,4991
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1991,1400
/microsoft/power-platform-skills/tree/main/plugins,1113,706
/microsoft/power-platform-skills/tree/main,805,525
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,643,474
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,586,406
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,586,400
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,303,201
/microsoft/power-platform-skills/tree/main/plugins/code-apps,293,190
/microsoft/power-platform-skills/issues,256,155
