time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,1207,760,1952,829
2026-07-14 00:00:00+00:00,1105,747,1464,646
2026-07-15 00:00:00+00:00,1075,770,1479,587
2026-07-16 00:00:00+00:00,1360,781,1437,565
2026-07-17 00:00:00+00:00,1276,702,1422,535
2026-07-18 00:00:00+00:00,473,331,552,214
2026-07-19 00:00:00+00:00,501,323,610,223
2026-07-20 00:00:00+00:00,1518,794,2136,730
2026-07-21 00:00:00+00:00,1980,932,2294,910
2026-07-22 00:00:00+00:00,2803,887,3108,1372
2026-07-23 00:00:00+00:00,3453,896,3281,1388
2026-07-24 00:00:00+00:00,1720,810,2823,1138
2026-07-25 00:00:00+00:00,999,433,772,368
2026-07-26 00:00:00+00:00,1104,434,949,438
