url_path,views_total,views_unique
/microsoft/power-platform-skills,8250,5053
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2411,1501
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1768,1205
/microsoft/power-platform-skills/tree/main/plugins,1646,1010
/microsoft/power-platform-skills/tree/main,1177,764
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1003,628
/microsoft/power-platform-skills/issues,524,201
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,400,261
/microsoft/power-platform-skills/tree/main/plugins/code-apps,391,257
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,317,228
