time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,2310,1105,3314,1380
2026-08-19 00:00:00+00:00,1776,953,3089,1117
2026-08-20 00:00:00+00:00,1976,987,3103,1107
2026-08-21 00:00:00+00:00,2204,966,2565,936
2026-08-22 00:00:00+00:00,1057,512,867,314
2026-08-23 00:00:00+00:00,1083,469,847,378
2026-08-24 00:00:00+00:00,2291,1019,2990,1115
2026-08-25 00:00:00+00:00,2995,1068,2634,1038
2026-08-26 00:00:00+00:00,2454,1063,2857,1059
2026-08-27 00:00:00+00:00,2500,1036,2597,923
2026-08-28 00:00:00+00:00,3010,1044,2298,955
2026-08-29 00:00:00+00:00,1151,550,830,355
2026-08-30 00:00:00+00:00,1229,435,810,329
2026-08-31 00:00:00+00:00,3206,1253,2354,942
