url_path,views_total,views_unique
/microsoft/power-platform-skills,2758,1763
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,707,440
/microsoft/power-platform-skills/tree/main/plugins,486,305
/microsoft/power-platform-skills/tree/main,344,230
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,279,182
/microsoft/power-platform-skills/tree/main/plugins/code-apps,248,142
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,164,113
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,137,89
/microsoft/power-platform-skills/issues,129,61
/microsoft/power-platform-skills/tree/main/plugins/power-pages,116,87
