time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,1041,371,605,202
2026-08-02 00:00:00+00:00,1136,386,1040,386
2026-08-03 00:00:00+00:00,1219,650,2409,855
2026-08-04 00:00:00+00:00,1723,977,2900,1011
2026-08-05 00:00:00+00:00,2275,895,3006,1085
2026-08-06 00:00:00+00:00,3229,1010,3609,1243
2026-08-07 00:00:00+00:00,2693,990,3073,1145
2026-08-08 00:00:00+00:00,1685,448,945,448
2026-08-09 00:00:00+00:00,7160,415,996,436
2026-08-10 00:00:00+00:00,2549,915,3224,1267
2026-08-11 00:00:00+00:00,3092,1079,3413,1242
2026-08-12 00:00:00+00:00,2727,1013,3241,1262
2026-08-13 00:00:00+00:00,2598,969,3104,1175
2026-08-14 00:00:00+00:00,1974,901,2327,925
