time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,2607,350,1013,367
2026-05-07 00:00:00+00:00,1475,335,840,342
2026-05-08 00:00:00+00:00,1295,312,1027,365
2026-05-09 00:00:00+00:00,998,126,548,140
2026-05-10 00:00:00+00:00,1099,122,288,120
2026-05-11 00:00:00+00:00,4894,402,701,284
2026-05-12 00:00:00+00:00,1043,299,634,252
2026-05-13 00:00:00+00:00,1412,355,822,259
2026-05-14 00:00:00+00:00,1349,306,855,263
2026-05-15 00:00:00+00:00,933,233,825,262
2026-05-16 00:00:00+00:00,539,116,385,103
2026-05-17 00:00:00+00:00,847,114,405,123
2026-05-18 00:00:00+00:00,1151,263,749,256
2026-05-19 00:00:00+00:00,827,270,623,233
