url_path,views_total,views_unique
/microsoft/power-platform-skills,10988,6345
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3127,2188
/microsoft/power-platform-skills/tree/main/plugins,1779,1063
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1544,1016
/microsoft/power-platform-skills/tree/main,1383,810
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1097,640
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,839,571
/microsoft/power-platform-skills/tree/main/plugins/model-apps,510,333
/microsoft/power-platform-skills/tree/main/plugins/code-apps,449,279
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,418,279
