url_path,views_total,views_unique
/microsoft/power-platform-skills,4475,2894
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1118,665
/microsoft/power-platform-skills/tree/main/plugins,688,431
/microsoft/power-platform-skills/tree/main,479,308
/microsoft/power-platform-skills/tree/main/plugins/code-apps,361,199
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,312,230
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,303,188
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,234,143
/microsoft/power-platform-skills/tree/main/plugins/model-apps,205,137
/microsoft/power-platform-skills/tree/main/plugins/power-pages,186,122
