url_path,views_total,views_unique
/microsoft/power-platform-skills,9883,6183
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2114,1297
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1996,1390
/microsoft/power-platform-skills/tree/main/plugins,1929,1194
/microsoft/power-platform-skills/tree/main,1267,801
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1200,724
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,694,512
/microsoft/power-platform-skills/tree/main/plugins/model-apps,493,323
/microsoft/power-platform-skills/tree/main/plugins/code-apps,442,293
/microsoft/power-platform-skills/issues,442,192
