url_path,views_total,views_unique
/microsoft/power-platform-skills,3165,2013
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,497,294
/microsoft/power-platform-skills/tree/main/plugins,454,314
/microsoft/power-platform-skills/tree/main,423,249
/microsoft/power-platform-skills/tree/main/plugins/code-apps,265,169
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,214,149
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,172,112
/microsoft/power-platform-skills/tree/main/plugins/model-apps,161,107
/microsoft/power-platform-skills/issues,137,81
/microsoft/power-platform-skills/tree/main/plugins/power-pages,126,80
