url_path,views_total,views_unique
/microsoft/power-platform-skills,8381,5290
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3309,2126
/microsoft/power-platform-skills/tree/main/plugins,1489,907
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1430,943
/microsoft/power-platform-skills/tree/main,1165,769
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,884,557
/microsoft/power-platform-skills/issues,503,195
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,374,257
/microsoft/power-platform-skills/tree/main/plugins/code-apps,363,240
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,271,155
