url_path,views_total,views_unique
/microsoft/power-platform-skills,10290,6450
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2108,1322
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,2044,1428
/microsoft/power-platform-skills/tree/main/plugins,1997,1229
/microsoft/power-platform-skills/tree/main,1302,804
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1211,738
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,769,557
/microsoft/power-platform-skills/tree/main/plugins/model-apps,506,338
/microsoft/power-platform-skills/tree/main/plugins/code-apps,468,308
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,417,268
