url_path,views_total,views_unique
/microsoft/power-platform-skills,4733,2897
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1290,753
/microsoft/power-platform-skills/tree/main/plugins,818,503
/microsoft/power-platform-skills/tree/main,623,384
/microsoft/power-platform-skills/tree/main/plugins/code-apps,439,241
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,338,249
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,337,222
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,280,177
/microsoft/power-platform-skills/tree/main/plugins/model-apps,269,167
/microsoft/power-platform-skills/tree/main/plugins/power-pages,219,140
