url_path,views_total,views_unique
/microsoft/power-platform-skills,7699,5164
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2660,1803
/microsoft/power-platform-skills/tree/main/plugins,1238,763
/microsoft/power-platform-skills/tree/main,977,621
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,820,563
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,646,438
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,587,398
/microsoft/power-platform-skills/tree/main/plugins/code-apps,318,207
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,304,219
/microsoft/power-platform-skills/tree/main/plugins/power-automate/skills,271,206
