url_path,views_total,views_unique
/microsoft/power-platform-skills,10906,6285
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,2276,1299
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1843,1078
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1524,987
/microsoft/power-platform-skills/tree/main/plugins,1369,876
/microsoft/power-platform-skills/tree/main,1291,776
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,548,360
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,382,256
/microsoft/power-platform-skills/tree/main/plugins/code-apps,381,260
/microsoft/power-platform-skills/tree/main/plugins/model-apps,381,245
