url_path,views_total,views_unique
/microsoft/power-platform-skills,10326,5826
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3134,2173
/microsoft/power-platform-skills/tree/main/plugins,1673,975
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1573,995
/microsoft/power-platform-skills/tree/main,1378,797
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1085,632
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,716,454
/microsoft/power-platform-skills/tree/main/plugins/code-apps,455,280
/microsoft/power-platform-skills/tree/main/plugins/model-apps,447,272
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,441,280
