url_path,views_total,views_unique
/microsoft/power-platform-skills,3141,2080
/microsoft/power-platform-skills/tree/main/plugins,444,287
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,419,290
/microsoft/power-platform-skills/tree/main,364,238
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,235,164
/microsoft/power-platform-skills/tree/main/plugins/code-apps,232,151
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,166,118
/microsoft/power-platform-skills/tree/main/plugins/power-pages,137,82
/microsoft/power-platform-skills/issues,121,73
/microsoft/power-platform-skills/pulls,117,48
