time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,3020,1058,2321,904
2026-07-29 00:00:00+00:00,4456,971,2672,943
2026-07-30 00:00:00+00:00,1969,912,2341,887
2026-07-31 00:00:00+00:00,2007,697,1705,695
2026-08-01 00:00:00+00:00,1041,371,605,202
2026-08-02 00:00:00+00:00,1136,386,1040,386
2026-08-03 00:00:00+00:00,1219,650,2409,855
2026-08-04 00:00:00+00:00,1723,977,2900,1011
2026-08-05 00:00:00+00:00,2275,895,3006,1085
2026-08-06 00:00:00+00:00,3229,1010,3609,1243
2026-08-07 00:00:00+00:00,2693,990,3073,1145
2026-08-08 00:00:00+00:00,1685,448,945,448
2026-08-09 00:00:00+00:00,7160,415,996,436
2026-08-10 00:00:00+00:00,2549,915,3224,1267
