url_path,views_total,views_unique
/microsoft/power-platform-skills,3101,2035
/microsoft/power-platform-skills/tree/main/plugins,444,276
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,420,288
/microsoft/power-platform-skills/tree/main,362,237
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,235,159
/microsoft/power-platform-skills/tree/main/plugins/code-apps,232,149
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,162,115
/microsoft/power-platform-skills/tree/main/plugins/power-pages,142,84
/microsoft/power-platform-skills/issues,119,74
/microsoft/power-platform-skills/pulls,119,47
