url_path,views_total,views_unique
/microsoft/power-platform-skills,2651,1661
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,497,296
/microsoft/power-platform-skills/tree/main/plugins,432,258
/microsoft/power-platform-skills/tree/main,394,241
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,251,161
/microsoft/power-platform-skills/tree/main/plugins/code-apps,228,142
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,181,122
/microsoft/power-platform-skills/issues,138,75
/microsoft/power-platform-skills/tree/main/plugins/power-pages,136,77
/microsoft/power-platform-skills/pulls,125,51
