url_path,views_total,views_unique
/microsoft/power-platform-skills,11345,6762
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3095,2139
/microsoft/power-platform-skills/tree/main/plugins,1872,1124
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1686,1126
/microsoft/power-platform-skills/tree/main,1389,835
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1153,700
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,839,571
/microsoft/power-platform-skills/tree/main/plugins/model-apps,531,353
/microsoft/power-platform-skills/tree/main/plugins/code-apps,443,278
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,427,277
