url_path,views_total,views_unique
/microsoft/power-platform-skills,3293,2175
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,459,293
/microsoft/power-platform-skills/tree/main/plugins,429,293
/microsoft/power-platform-skills/tree/main,409,261
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,242,159
/microsoft/power-platform-skills/tree/main/plugins/code-apps,240,165
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,187,123
/microsoft/power-platform-skills/tree/main/plugins/model-apps,144,95
/microsoft/power-platform-skills/tree/main/plugins/power-pages,114,75
/microsoft/power-platform-skills/blob/main/AGENTS.md,109,77
