time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,1241,404,765,267
2026-07-08 00:00:00+00:00,1130,469,983,322
2026-07-09 00:00:00+00:00,907,530,886,337
2026-07-10 00:00:00+00:00,913,650,2282,995
2026-07-11 00:00:00+00:00,470,331,1174,619
2026-07-12 00:00:00+00:00,429,336,1277,563
2026-07-13 00:00:00+00:00,1207,760,1952,829
2026-07-14 00:00:00+00:00,1105,747,1464,646
2026-07-15 00:00:00+00:00,1075,770,1479,587
2026-07-16 00:00:00+00:00,1360,781,1437,565
2026-07-17 00:00:00+00:00,1276,702,1422,535
2026-07-18 00:00:00+00:00,473,331,552,214
2026-07-19 00:00:00+00:00,501,323,610,223
2026-07-20 00:00:00+00:00,1518,794,2136,730
