url_path,views_total,views_unique
/microsoft/power-platform-skills,3326,2221
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,444,294
/microsoft/power-platform-skills/tree/main/plugins,440,305
/microsoft/power-platform-skills/tree/main,382,255
/microsoft/power-platform-skills/tree/main/plugins/code-apps,256,174
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,239,162
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,188,127
/microsoft/power-platform-skills/tree/main/plugins/power-pages,119,77
/microsoft/power-platform-skills/blob/main/AGENTS.md,111,80
/microsoft/power-platform-skills/tree/main/plugins/model-apps,109,81
