url_path,views_total,views_unique
/microsoft/power-platform-skills,10634,6195
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,2010,1207
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1791,1068
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1562,1028
/microsoft/power-platform-skills/tree/main/plugins,1368,834
/microsoft/power-platform-skills/tree/main,1214,766
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,524,346
/microsoft/power-platform-skills/tree/main/plugins/code-apps,434,294
/microsoft/power-platform-skills/pulls,429,100
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,400,265
