url_path,views_total,views_unique
/microsoft/power-platform-skills,3088,2027
/microsoft/power-platform-skills/tree/main/plugins,445,276
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,422,287
/microsoft/power-platform-skills/tree/main,369,236
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,239,162
/microsoft/power-platform-skills/tree/main/plugins/code-apps,231,149
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,168,117
/microsoft/power-platform-skills/tree/main/plugins/power-pages,143,84
/microsoft/power-platform-skills/issues,129,73
/microsoft/power-platform-skills/pulls,121,49
