url_path,views_total,views_unique
/microsoft/power-platform-skills,10135,5779
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3122,2171
/microsoft/power-platform-skills/tree/main/plugins,1639,975
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1552,993
/microsoft/power-platform-skills/tree/main,1377,817
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1110,635
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,585,366
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,442,291
/microsoft/power-platform-skills/tree/main/plugins/model-apps,439,269
/microsoft/power-platform-skills/tree/main/plugins/code-apps,414,258
