url_path,views_total,views_unique
/microsoft/power-platform-skills,7605,4955
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3218,2103
/microsoft/power-platform-skills/tree/main/plugins,1309,789
/microsoft/power-platform-skills/tree/main,1046,685
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,984,646
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,698,451
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,453,292
/microsoft/power-platform-skills/issues,377,180
/microsoft/power-platform-skills/tree/main/plugins/code-apps,355,221
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,323,244
