url_path,views_total,views_unique
/microsoft/power-platform-skills,10951,6414
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,2358,1343
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1916,1127
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1577,1031
/microsoft/power-platform-skills/tree/main/plugins,1383,881
/microsoft/power-platform-skills/tree/main,1283,773
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,536,350
/microsoft/power-platform-skills/tree/main/plugins/model-apps,402,258
/microsoft/power-platform-skills/tree/main/plugins/code-apps,375,252
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,370,251
