url_path,views_total,views_unique
/microsoft/power-platform-skills,7999,5102
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3484,2270
/microsoft/power-platform-skills/tree/main/plugins,1336,813
/microsoft/power-platform-skills/tree/main,1126,740
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1112,713
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,744,480
/microsoft/power-platform-skills/issues,441,189
/microsoft/power-platform-skills/tree/main/plugins/code-apps,362,226
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,354,252
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,331,206
