url_path,views_total,views_unique
/microsoft/power-platform-skills,7918,5102
/microsoft/power-platform-skills/tree/main/plugins/power-automate,3369,2217
/microsoft/power-platform-skills/tree/main/plugins,1333,809
/microsoft/power-platform-skills/tree/main,1120,740
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1067,686
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,714,461
/microsoft/power-platform-skills/issues,416,184
/microsoft/power-platform-skills/tree/main/plugins/mobile-apps,393,244
/microsoft/power-platform-skills/tree/main/plugins/code-apps,364,226
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,342,248
