time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,2551,1141,3542,1493
2026-09-03 00:00:00+00:00,3979,1406,3317,1394
2026-09-04 00:00:00+00:00,2530,1196,2736,1140
2026-09-05 00:00:00+00:00,1196,559,813,361
2026-09-06 00:00:00+00:00,1130,524,754,369
2026-09-07 00:00:00+00:00,2338,1240,2521,1049
2026-09-08 00:00:00+00:00,3774,1462,3295,1266
2026-09-09 00:00:00+00:00,3161,1601,2749,1223
2026-09-10 00:00:00+00:00,2982,1537,3364,1168
2026-09-11 00:00:00+00:00,3140,1440,2399,979
2026-09-12 00:00:00+00:00,1499,711,710,324
2026-09-13 00:00:00+00:00,1058,596,788,308
2026-09-14 00:00:00+00:00,2293,1221,2518,1076
2026-09-15 00:00:00+00:00,2605,1318,2690,1086
