time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,2008,357,620,264
2026-05-29 00:00:00+00:00,1461,329,831,261
2026-05-30 00:00:00+00:00,401,132,360,113
2026-05-31 00:00:00+00:00,376,122,331,117
2026-06-01 00:00:00+00:00,874,291,711,275
2026-06-02 00:00:00+00:00,993,323,691,279
2026-06-03 00:00:00+00:00,1234,352,698,288
2026-06-04 00:00:00+00:00,1060,287,829,379
2026-06-05 00:00:00+00:00,571,249,1087,414
2026-06-06 00:00:00+00:00,341,109,552,352
2026-06-07 00:00:00+00:00,264,126,312,139
2026-06-08 00:00:00+00:00,928,338,831,309
2026-06-09 00:00:00+00:00,754,280,1029,378
2026-06-10 00:00:00+00:00,1066,355,771,306
