time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,3092,1079,3413,1242
2026-08-12 00:00:00+00:00,2727,1013,3241,1262
2026-08-13 00:00:00+00:00,2598,969,3104,1175
2026-08-14 00:00:00+00:00,1974,901,2327,925
2026-08-15 00:00:00+00:00,1183,463,658,340
2026-08-16 00:00:00+00:00,870,415,1225,649
2026-08-17 00:00:00+00:00,2517,1039,3655,1422
2026-08-18 00:00:00+00:00,2310,1105,3314,1380
2026-08-19 00:00:00+00:00,1776,953,3089,1117
2026-08-20 00:00:00+00:00,1976,987,3103,1107
2026-08-21 00:00:00+00:00,2204,966,2565,936
2026-08-22 00:00:00+00:00,1057,512,867,314
2026-08-23 00:00:00+00:00,1083,469,847,378
2026-08-24 00:00:00+00:00,2291,1019,2990,1115
