url_path,views_total,views_unique
/microsoft/power-platform-skills,10905,6339
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,2257,1295
/microsoft/power-platform-skills/tree/main/plugins/power-automate,1846,1073
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1542,1003
/microsoft/power-platform-skills/tree/main/plugins,1377,893
/microsoft/power-platform-skills/tree/main,1288,781
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,552,361
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,389,268
/microsoft/power-platform-skills/pulls,389,99
/microsoft/power-platform-skills/tree/main/plugins/model-apps,384,249
