url_path,views_total,views_unique
/microsoft/power-platform-skills,4240,2718
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1040,645
/microsoft/power-platform-skills/tree/main/plugins,618,391
/microsoft/power-platform-skills/tree/main,450,287
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,309,213
/microsoft/power-platform-skills/tree/main/plugins/code-apps,308,186
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,252,166
/microsoft/power-platform-skills/tree/main/plugins/model-apps,198,129
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,193,132
/microsoft/power-platform-skills/pulls,168,68
