url_path,views_total,views_unique
/microsoft/power-platform-skills,2846,1860
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,725,460
/microsoft/power-platform-skills/tree/main/plugins,495,317
/microsoft/power-platform-skills/tree/main,357,229
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,284,187
/microsoft/power-platform-skills/tree/main/plugins/code-apps,248,146
/microsoft/power-platform-skills/blob/main/plugins/code-apps/AGENTS.md,165,114
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps/skills,144,90
/microsoft/power-platform-skills/issues,130,60
/microsoft/power-platform-skills/tree/main/plugins/power-pages,125,90
