url_path,views_total,views_unique
/microsoft/power-platform-skills,9615,5952
/microsoft/power-platform-skills/tree/main/plugins/power-automate,2139,1295
/microsoft/power-platform-skills/blob/main/plugins/power-automate/README.md,1948,1368
/microsoft/power-platform-skills/tree/main/plugins,1862,1169
/microsoft/power-platform-skills/tree/main,1285,804
/microsoft/power-platform-skills/tree/main/plugins/canvas-apps,1189,723
/microsoft/power-platform-skills/blob/main/plugins/model-apps/README.md,545,392
/microsoft/power-platform-skills/issues,475,193
/microsoft/power-platform-skills/tree/main/plugins/model-apps,472,308
/microsoft/power-platform-skills/blob/main/plugins/canvas-apps/AGENTS.md,416,267
