time_iso8601,forks_cumulative
2026-02-19 00:00:00+00:00,1
2026-02-24 00:00:00+00:00,2
2026-02-25 00:00:00+00:00,6
2026-03-04 00:00:00+00:00,7
2026-03-07 00:00:00+00:00,8
2026-03-12 00:00:00+00:00,9
2026-03-13 00:00:00+00:00,10
2026-03-16 00:00:00+00:00,11
2026-03-18 00:00:00+00:00,12
2026-03-20 00:00:00+00:00,14
2026-03-27 00:00:00+00:00,15
2026-03-28 00:00:00+00:00,16
2026-04-03 00:00:00+00:00,17
2026-04-04 00:00:00+00:00,18
2026-04-05 00:00:00+00:00,19
2026-04-08 00:00:00+00:00,21
2026-04-10 00:00:00+00:00,22
2026-04-11 00:00:00+00:00,23
2026-04-15 00:00:00+00:00,24
2026-04-17 00:00:00+00:00,25
2026-04-18 00:00:00+00:00,27
2026-04-19 00:00:00+00:00,28
2026-04-21 00:00:00+00:00,29
2026-04-22 00:00:00+00:00,30
2026-04-23 00:00:00+00:00,31
2026-04-24 00:00:00+00:00,32
2026-04-26 00:00:00+00:00,34
2026-04-27 00:00:00+00:00,35
2026-04-29 00:00:00+00:00,36
2026-04-30 00:00:00+00:00,38
2026-05-01 00:00:00+00:00,39
2026-05-03 00:00:00+00:00,41
2026-05-06 00:00:00+00:00,44
2026-05-07 00:00:00+00:00,47
2026-05-09 00:00:00+00:00,49
2026-05-10 00:00:00+00:00,50
2026-05-11 00:00:00+00:00,51
2026-05-12 00:00:00+00:00,52
2026-05-17 00:00:00+00:00,53
2026-05-19 00:00:00+00:00,54
2026-05-22 00:00:00+00:00,55
2026-05-24 00:00:00+00:00,56
2026-05-25 00:00:00+00:00,57
2026-05-26 00:00:00+00:00,58
2026-05-29 00:00:00+00:00,60
2026-05-30 00:00:00+00:00,62
2026-05-31 00:00:00+00:00,63
2026-06-04 00:00:00+00:00,64
2026-06-05 00:00:00+00:00,65
2026-06-07 00:00:00+00:00,66
2026-06-08 00:00:00+00:00,67
2026-06-11 00:00:00+00:00,68
2026-06-17 00:00:00+00:00,69
2026-06-18 00:00:00+00:00,71
2026-06-19 00:00:00+00:00,72
2026-06-23 00:00:00+00:00,73
2026-06-24 00:00:00+00:00,75
